,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,19.0670157,12.39243804,20.98061595,17.79734273,5.21002991,3.796376544,2.847404898,0.431806251,2.361042038,4.61842824,3.459005744,4.36570824
1,18.33258698,11.76258943,23.23423711,16.34449074,3.969403113,3.029707764,2.637942482,0.72527557,1.688576049,4.313925216,2.805245964,2.906782908
2,18.37998105,12.03268213,23.51564278,16.49254909,4.441148866,3.666265887,2.609673971,1.200987482,2.15397714,4.473770889,2.816595219,3.06937705
3,18.0471789,11.65447192,20.95784819,17.46233832,4.250399044,3.313740945,1.741366676,0.678826384,1.177559707,4.618481206,2.906775075,3.700917305
4,18.86886474,12.44758268,23.07281365,16.61659903,5.571532046,2.550948442,1.761431644,1.474995971,1.197681427,5.858795605,4.181939439,3.509755272
5,19.17851939,12.32299282,21.53280913,17.10528763,5.810721723,3.16839764,2.407146819,0.31917611,1.532183324,5.62526727,4.109323014,4.262217024
6,19.03943935,12.47897556,22.60374026,17.16212819,5.34286563,3.435241442,2.703321193,1.156575728,2.269959689,5.092659341,4.124387781,3.664088538
7,19.27646621,12.4064746,24.09937185,15.96121136,5.248253839,3.137710075,3.07043548,0.799515309,2.173275424,5.446244244,3.504906881,2.933126619
8,19.66421621,12.41063477,22.98042821,16.89749807,5.47670087,2.900709936,2.492865862,0.696234805,1.930759525,5.637285022,4.659701271,3.539973142
9,18.34085939,12.18314292,22.46447627,16.53444267,4.212855615,3.091861549,2.452567797,1.023049167,1.590315525,4.863169705,2.964970118,3.061766526
10,19.46434995,13.03073732,22.18481264,16.73355601,5.637476659,2.645112357,1.757139623,0.983107702,1.296381242,5.951472696,3.802971608,2.93673684
11,19.11952524,12.32725851,22.69730854,16.38226697,5.175082252,3.268735726,1.912450024,0.625634726,1.285589576,5.571864224,3.519006363,3.550536687
12,19.31034298,12.58720468,22.08553513,17.4438945,4.868382653,2.762637308,2.387976642,0.419643291,1.654052375,5.230071166,4.046652612,3.578000375
13,18.82057791,12.67504943,23.04803172,16.78624772,4.595402869,3.765076156,3.022015868,0.78697702,1.777613788,5.235066218,3.414226719,3.577511759
