A12X,A12Y,B12X,B12Y,C12X,C12Y,D12X,D12Y,E12X,E12Y,F12X,F12Y,G12X,G12Y,H12X,H12Y
1213.44324,3677.05811,930.786133,6415.83203,961.542114,4850.62598,1827.07312,4848.61133,1573.90833,4106.39063,310.623657,28.693676,159.406662,32.8540802,68.4738159,26.2618065
1194.21484,4284.37012,950.419922,5539.97754,1188.85034,5073.77393,1646.12537,5185.98535,1814.32959,4242.21777,296.878815,22.7332115,338.184845,16.3078308,71.3586807,17.0588493
1260.87671,5606.40088,1004.49323,6507.38477,1028.00134,4895.66309,1659.09534,4353.10596,1285.74365,1291.58496,652.325134,61.1901283,520.873047,12.1474266,62.2272491,15.9621239
928.938416,4631.31689,961.959351,5018.10303,822.305664,4011.58325,1728.22473,4565.97803,1795.7926,4175.18604,654.172913,34.2726707,466.418274,33.0805779,69.2963562,6.55651093
1012.21802,5357.33691,1028.01318,6801.52197,987.494019,3910.04077,1351.46375,5125.57031,977.599609,560.629395,879.704956,223.267075,394.737732,20.980835,84.2094421,24.998188
946.30719,5283.15283,916.11145,4707.89648,1080.06006,5042.21924,1312.53003,4954.51709,1332.93872,1702.17749,801.289063,82.5524292,322.806824,31.0301781,69.5228577,11.4679337
932.621948,6368.76807,889.766235,5551.97021,1181.93628,5947.45898,1574.94543,5604.58887,987.708557,501.215454,1117.34863,666.058044,134.563446,29.0751457,61.1543655,15.5210495
980.043396,4772.68701,740.563843,4440.35547,1021.69513,4781.84229,1316.55933,4752.95801,1655.57861,2814.2334,794.482239,162.577637,135.028366,39.7801399,71.8951263,3.83853912
1284.44434,4287.73145,843.513,5707.09717,1209.09216,6009.24512,1359.60583,5804.24072,1628.995,4395.05566,1305.59204,1596.95154,265.645996,29.7188759,66.3399658,20.1463699
1051.10413,4715.37109,980.591797,5617.71387,1149.73779,4726.61279,1489.85388,2529.20386,1393.54468,2092.49268,278.806702,22.4947929,327.05069,32.8421593,65.2313232,27.8234482
909.936401,5048.0127,1101.89917,5396.30664,1133.13196,3971.06421,1384.50867,5214.25,1550.87708,3707.39697,1537.83557,1955.85486,126.659866,57.1012497,54.037571,20.4205513
916.981689,4701.22119,960.516907,4863.32178,1110.72058,4750.81201,1726.24585,4858.94678,1452.14795,2038.50269,775.969055,124.585632,543.76123,49.7698784,88.5248184,14.3170357
823.986511,5186.66504,1140.47522,6405.42529,1234.5553,6292.84375,1558.87598,5481.45752,892.198059,283.038605,252.330307,38.6238098,128.793716,37.4794006,72.3361969,35.3097916
834.381592,1784.02661,968.706604,4809.28418,1049.30396,5644.61963,1567.93591,4792.94043,1852.11902,1339.28064,1449.82336,1334.72681,473.248962,22.2802162,79.9059906,19.4787979
1120.66272,5277.40723,908.160217,5258.53613,1109.77893,5332.99463,1394.72485,3335.77393,1397.71704,1464.14038,1200.77136,457.263,405.01355,22.3278999,58.4363937,25.9041786
4.27961349,390.744202,1118.86267,3400.81445,1233.995,6595.62354,1245.59399,5148.82813,1258.44482,1532.9718,227.653976,20.813942,470.304504,30.3030014,74.9468842,38.1231308
1077.11548,6305.09863,1085.69861,6175.8042,1251.44714,5657.375,1254.797,5295.88477,1608.87244,3761.70874,214.087967,28.5029411,289.070618,7.28368759,88.4175262,40.3404236
873.589539,5006.09863,990.95105,5483.73438,1296.67517,4171.90771,1487.2074,5812.81201,1667.08228,2393.38867,237.095352,28.2406807,474.131104,36.6687775,74.9588013,23.0312347
1174.21155,5410.77832,959.694397,5848.94434,1119.53015,3100.88403,1489.99695,5137.92041,1017.23669,365.030762,1495.552,1606.98889,225.090973,8.893013,57.6138496,17.5476074
1100.51636,5042.18359,878.918152,2527.84497,1010.59674,5146.75391,1684.84448,4001.0332,1630.18701,2710.34229,725.841553,63.3835793,579.130676,6.72340393,76.1866608,24.5571136
944.697876,5850.50586,717.008118,4405.33154,1018.46454,5346.13135,1254.14136,5428.66016,1677.50122,1722.31201,1460.90979,1822.11401,204.551224,22.4947929,74.7799835,26.2737274
1003.52765,5895.98438,1188.1947,5802.53613,1058.948,5843.60352,1333.8208,5776.63184,1326.47754,1523.50659,322.520721,12.087822,596.797485,104.844574,61.404705,48.7804413
952.625244,5585.02686,1191.99756,4204.30908,1183.73633,5971.71777,1804.59021,3472.78125,1158.03479,782.120239,309.097778,53.1554222,633.883484,36.57341,49.996376,17.1542168
