name,VH Positive Charge,VH Negative Charge,VH HM,VH pI,VH Charged,VH Polar,VH Hydrophobic,VH Aromatic,VH Amphipathic,VH Atoms,VH Bond A,VH Bond D,VL Positive Charge,VL Negative Charge,VL HM,VL pI,VL Charged,VL Polar,VL Hydrophobic,VL Aromatic,VL Amphipathic,VL Atoms,VL Bond A,VL Bond D,CDR Positive Charge,CDR Negative Charge,CDR HM,CDR pI,CDR Charged,CDR Polar,CDR Hydrophobic,CDR Aromatic,CDR Amphipathic,CDR Atoms,CDR Bond A,CDR Bond D
ADI-14447,0.08264462809917356,0.06611570247933884,-0.3826446280991732,6.046280991735537,0.1487603305785124,0.3140495867768595,0.4628099173553719,0.10743801652892562,0.09090909090909091,3.5785123966942147,0.33884297520661155,0.32231404958677684,0.08411214953271028,0.056074766355140186,-0.47570093457943863,6.0345794392523375,0.14018691588785046,0.3644859813084112,0.4205607476635514,0.12149532710280374,0.09345794392523364,3.682242990654206,0.3644859813084112,0.3644859813084112,0.07352941176470588,0.058823529411764705,-0.4514705882352942,6.039705882352938,0.1323529411764706,0.29411764705882354,0.45588235294117646,0.16176470588235295,0.11764705882352941,3.8676470588235294,0.35294117647058826,0.3235294117647059
ADI-14460,0.07936507936507936,0.07142857142857142,-0.47301587301587283,5.98968253968254,0.15079365079365079,0.35714285714285715,0.4126984126984127,0.12698412698412698,0.09523809523809523,3.738095238095238,0.36507936507936506,0.3253968253968254,0.08256880733944955,0.07339449541284404,-0.49724770642201804,5.972477064220182,0.1559633027522936,0.3486238532110092,0.43119266055045874,0.10091743119266056,0.08256880733944955,3.4862385321100917,0.3669724770642202,0.3394495412844037,0.06578947368421052,0.10526315789473684,-0.6710526315789472,5.773684210526314,0.17105263157894737,0.3815789473684211,0.34210526315789475,0.17105263157894737,0.11842105263157894,3.8026315789473686,0.47368421052631576,0.39473684210526316
ADI-14487,0.09836065573770492,0.06557377049180328,-0.4491803278688522,6.102459016393441,0.16393442622950818,0.30327868852459017,0.4180327868852459,0.14754098360655737,0.13114754098360656,3.9262295081967213,0.3442622950819672,0.32786885245901637,0.08928571428571429,0.08928571428571429,-0.41160714285714256,5.975000000000001,0.17857142857142858,0.30357142857142855,0.48214285714285715,0.08035714285714286,0.0625,3.544642857142857,0.33035714285714285,0.29464285714285715,0.10810810810810811,0.05405405405405406,-0.4216216216216216,6.055405405405404,0.16216216216216217,0.33783783783783783,0.40540540540540543,0.17567567567567569,0.14864864864864866,4.121621621621622,0.35135135135135137,0.36486486486486486
ADI-14485,0.1111111111111111,0.1111111111111111,-0.6023809523809519,6.05238095238095,0.2222222222222222,0.23809523809523808,0.4603174603174603,0.11904761904761904,0.09523809523809523,3.7063492063492065,0.3412698412698413,0.2857142857142857,0.07339449541284404,0.07339449541284404,-0.5220183486238527,6.012844036697248,0.14678899082568808,0.3302752293577982,0.45871559633027525,0.10091743119266056,0.06422018348623854,3.669724770642202,0.3302752293577982,0.28440366972477066,0.12,0.09333333333333334,-0.7879999999999996,6.138666666666665,0.21333333333333335,0.24,0.4666666666666667,0.14666666666666667,0.08,3.8533333333333335,0.29333333333333333,0.25333333333333335
ADI-14483,0.09917355371900827,0.05785123966942149,-0.46694214876033036,6.110743801652891,0.15702479338842976,0.30578512396694213,0.47107438016528924,0.11570247933884298,0.09917355371900827,3.628099173553719,0.2892561983471074,0.2644628099173554,0.07272727272727272,0.06363636363636363,-0.4981818181818181,5.991818181818181,0.13636363636363635,0.35454545454545455,0.45454545454545453,0.08181818181818182,0.06363636363636363,3.327272727272727,0.34545454545454546,0.3181818181818182,0.0945945945945946,0.06756756756756757,-0.7162162162162163,5.974324324324322,0.16216216216216217,0.3918918918918919,0.3918918918918919,0.12162162162162163,0.0945945945945946,3.445945945945946,0.3918918918918919,0.36486486486486486
ADI-14501,0.09090909090909091,0.0743801652892562,-0.36942148760330557,6.032231404958678,0.1652892561983471,0.2892561983471074,0.48760330578512395,0.11570247933884298,0.08264462809917356,3.5867768595041323,0.2892561983471074,0.2644628099173554,0.07407407407407407,0.06481481481481481,-0.518518518518518,6.0249999999999995,0.1388888888888889,0.3425925925925926,0.4537037037037037,0.10185185185185185,0.07407407407407407,3.574074074074074,0.3333333333333333,0.2962962962962963,0.08695652173913043,0.043478260869565216,-0.5159420289855072,6.110144927536229,0.13043478260869565,0.34782608695652173,0.4782608695652174,0.13043478260869565,0.057971014492753624,3.681159420289855,0.2753623188405797,0.2608695652173913
ADI-14499,0.07142857142857142,0.07142857142857142,-0.36031746031746015,5.944444444444447,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.1349206349206349,0.12698412698412698,3.8492063492063493,0.36507936507936506,0.3253968253968254,0.08411214953271028,0.056074766355140186,-0.610280373831775,6.07102803738318,0.14018691588785046,0.37383177570093457,0.411214953271028,0.102803738317757,0.07476635514018691,3.6261682242990654,0.37383177570093457,0.3644859813084112,0.0547945205479452,0.0821917808219178,-0.5054794520547944,5.806849315068489,0.136986301369863,0.3287671232876712,0.3835616438356164,0.2054794520547945,0.1780821917808219,4.082191780821918,0.4383561643835616,0.3698630136986301
ADI-14506,0.10317460317460317,0.07142857142857142,-0.444444444444444,6.128571428571428,0.1746031746031746,0.24603174603174602,0.49206349206349204,0.12698412698412698,0.10317460317460317,3.6904761904761907,0.2857142857142857,0.2619047619047619,0.07339449541284404,0.09174311926605505,-0.525688073394495,5.939449541284405,0.1651376146788991,0.3119266055045872,0.45871559633027525,0.10091743119266056,0.07339449541284404,3.5779816513761467,0.3394495412844037,0.28440366972477066,0.10666666666666667,0.09333333333333334,-0.7199999999999999,6.094666666666665,0.2,0.21333333333333335,0.5066666666666667,0.14666666666666667,0.09333333333333334,3.8133333333333335,0.25333333333333335,0.18666666666666668
ADI-14532,0.09375,0.09375,-0.5023437499999998,6.030468750000003,0.1875,0.265625,0.453125,0.125,0.109375,3.671875,0.359375,0.296875,0.045454545454545456,0.09090909090909091,-0.48545454545454503,5.817272727272726,0.13636363636363635,0.34545454545454546,0.43636363636363634,0.10909090909090909,0.09090909090909091,3.4,0.4,0.3181818181818182,0.06329113924050633,0.10126582278481013,-0.6075949367088609,5.8417721518987324,0.16455696202531644,0.31645569620253167,0.4050632911392405,0.16455696202531644,0.12658227848101267,3.632911392405063,0.4430379746835443,0.35443037974683544
ADI-14516,0.08196721311475409,0.06557377049180328,-0.5163934426229505,6.020491803278685,0.14754098360655737,0.3442622950819672,0.4180327868852459,0.10655737704918032,0.11475409836065574,3.598360655737705,0.3524590163934426,0.32786885245901637,0.11504424778761062,0.09734513274336283,-0.8088495575221233,6.0628318584070815,0.21238938053097345,0.336283185840708,0.40707964601769914,0.09734513274336283,0.07964601769911504,3.84070796460177,0.34513274336283184,0.3008849557522124,0.09333333333333334,0.08,-0.8146666666666668,5.937333333333331,0.17333333333333334,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,3.8533333333333335,0.4,0.37333333333333335
